"","SeasonFrom","SeasonTo","Matchday","Day","Date","Time","Home","Guest","Score90","Score45","Score90Home","Score90Guest","Score45Home","Score45Guest","PointsHome","PointsGuest","GoalsTotal90","GoalsTotal45","HomeID","GuestID"
"43",1963,1964,6,"Saturday",1963-10-05,15:30:00,"K'lautern","Münster","0:0","0:0",0,0,0,0,1,1,0,0,13,2
"44",1963,1964,6,"Saturday",1963-10-05,15:30:00,"Stuttgart","Saarbrücken","3:1","1:0",3,1,1,0,2,0,4,1,14,3
"45",1963,1964,6,"Saturday",1963-10-05,18:30:00,"Nürnberg","Karlsruhe","2:4","2:1",2,4,2,1,0,2,6,3,15,4
"46",1963,1964,6,"Saturday",1963-10-05,19:00:00,"HSV","Hertha","5:1","1:1",5,1,1,1,2,0,6,2,10,7
"47",1963,1964,6,"Saturday",1963-10-05,20:00:00,"Braunschweig","Schalke","4:3","2:1",4,3,2,1,2,0,7,3,9,6
"48",1963,1964,6,"Saturday",1963-10-05,20:00:00,"Dortmund","Frankfurt","3:0","3:0",3,0,3,0,2,0,3,3,16,5
"49",1963,1964,7,"Saturday",1963-10-12,15:30:00,"TSV 1860","Nürnberg","5:0","3:0",5,0,3,0,2,0,5,3,1,15
"50",1963,1964,7,"Saturday",1963-10-12,15:30:00,"Saarbrücken","K'lautern","2:4","2:1",2,4,2,1,0,2,6,3,3,13
"51",1963,1964,7,"Saturday",1963-10-12,15:30:00,"Karlsruhe","Stuttgart","0:3","0:2",0,3,0,2,0,2,3,2,4,14
"52",1963,1964,7,"Saturday",1963-10-12,15:30:00,"Schalke","Meidericher SV","2:2","2:1",2,2,2,1,1,1,4,3,6,12
"53",1963,1964,7,"Saturday",1963-10-12,15:30:00,"Frankfurt","Köln","2:1","2:1",2,1,2,1,2,0,3,3,5,11
"54",1963,1964,7,"Saturday",1963-10-12,15:30:00,"Hertha","Braunschweig","1:2","1:2",1,2,1,2,0,2,3,3,7,9
"55",1963,1964,7,"Saturday",1963-10-12,17:00:00,"Bremen","HSV","4:2","2:1",4,2,2,1,2,0,6,3,8,10
"56",1963,1964,7,"Saturday",1963-10-12,18:00:00,"Münster","Dortmund","1:2","1:0",1,2,1,0,0,2,3,1,2,16
"57",1963,1964,8,"Saturday",1963-10-19,15:30:00,"Braunschweig","Bremen","1:1","1:1",1,1,1,1,1,1,2,2,9,8
"58",1963,1964,8,"Saturday",1963-10-19,15:30:00,"HSV","TSV 1860","5:0","3:0",5,0,3,0,2,0,5,3,10,1
"59",1963,1964,8,"Saturday",1963-10-19,15:30:00,"Köln","Münster","3:0","1:0",3,0,1,0,2,0,3,1,11,2
