SeasonFrom , SeasonTo ,Matchday, Day, Date, Time, Home, Guest, Score90, Score45, Score90Home, Score90Guest, Score45Home, Score45Guest, PointsHome, PointsGuest
1963  ,  1964  ,  3  ,  Saturday  ,  1963-09-07  ,  16:30  ,  Münster  ,  Meidericher SV  ,  4:2 , 2:0  , 4 , 2  ,  2 , 0  , 2 , 0
1963  ,  1964  ,  3  ,  Saturday  ,  1963-09-07  ,  16:30  ,  Saarbrücken  ,  Braunschweig  ,  2:2 , 0:1  , 2 , 2  ,  0 , 1  , 1 , 1
1963  ,  1964  ,  3  ,  Saturday  ,  1963-09-07  ,  16:30  ,  Karlsruhe  ,  HSV  ,  0:4 , 0:3  , 0 , 4  ,  0 , 3  , 0 , 2
1963  ,  1964  ,  3  ,  Saturday  ,  1963-09-07  ,  16:30  ,  Frankfurt  ,  Nürnberg  ,  2:3 , 1:1  , 2 , 3  ,  1 , 1  , 0 , 2
1963  ,  1964  ,  3  ,  Saturday  ,  1963-09-07  ,  16:30  ,  Schalke  ,  Dortmund  ,  3:1 , 1:1  , 3 , 1  ,  1 , 1  , 2 , 0
1963  ,  1964  ,  3  ,  Saturday  ,  1963-09-07  ,  16:30  ,  Hertha  ,  K'lautern  ,  2:2 , 0:2  , 2 , 2  ,  0 , 2  , 1 , 1
1963  ,  1964  ,  3  ,  Saturday  ,  1963-09-07  ,  16:30  ,  Bremen  ,  Stuttgart  ,  2:2 , 1:2  , 2 , 2  ,  1 , 2  , 1 , 1
1963  ,  1964  ,  4  ,  Saturday  ,  1963-09-14  ,  16:30  ,  Braunschweig  ,  Karlsruhe  ,  2:0 , 1:0  , 2 , 0  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  4  ,  Saturday  ,  1963-09-14  ,  16:30  ,  HSV  ,  Frankfurt  ,  3:0 , 1:0  , 3 , 0  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  4  ,  Saturday  ,  1963-09-14  ,  16:30  ,  Köln  ,  Schalke  ,  2:2 , 1:2  , 2 , 2  ,  1 , 2  , 1 , 1
1963  ,  1964  ,  4  ,  Saturday  ,  1963-09-14  ,  16:30  ,  Meidericher SV  ,  Hertha  ,  1:3 , 0:1  , 1 , 3  ,  0 , 1  , 0 , 2
1963  ,  1964  ,  4  ,  Saturday  ,  1963-09-14  ,  16:30  ,  K'lautern  ,  Bremen  ,  3:0 , 1:0  , 3 , 0  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  4  ,  Saturday  ,  1963-09-14  ,  16:30  ,  Stuttgart  ,  TSV 1860  ,  1:1 , 1:1  , 1 , 1  ,  1 , 1  , 1 , 1
1963  ,  1964  ,  4  ,  Saturday  ,  1963-09-14  ,  16:30  ,  Nürnberg  ,  Münster  ,  2:2 , 1:2  , 2 , 2  ,  1 , 2  , 1 , 1
