;SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;Score90;Score45;Score90Home;Score90Guest;Score45Home;Score45Guest;PointsHome;PointsGuest;Aborted;Annulled;League
77;1963;1964;10;Saturday;;;Eintracht Frankfurt;FC Schalke 04;4:2;1:1;4;2;1;1;0;2;False;False;1. Bundesliga
78;1963;1964;10;Saturday;;;Werder Bremen;Hertha BSC;2:2;1:0;2;2;1;0;1;1;False;False;1. Bundesliga
79;1963;1964;10;Saturday;;;Borussia Dortmund;1. FC Nürnberg;3:1;1:1;3;1;1;1;0;2;False;False;1. Bundesliga
80;1963;1964;11;Saturday;;;Eintracht Braunschweig;Meidericher SV;0:0;0:0;0;0;0;0;1;1;False;False;1. Bundesliga
81;1963;1964;11;Saturday;;;1. FC Köln;Hamburger SV;4:1;1:1;4;1;1;1;0;2;False;False;1. Bundesliga
82;1963;1964;11;Saturday;;;VfB Stuttgart;1. FC Nürnberg;1:0;1:0;1;0;1;0;0;2;False;False;1. Bundesliga
83;1963;1964;11;Saturday;;;1. FC Saarbrücken;Preußen Münster;1:1;1:1;1;1;1;1;1;1;False;False;1. Bundesliga
84;1963;1964;11;Saturday;;;1860 München;Karlsruher SC;1:0;0:0;1;0;0;0;0;2;False;False;1. Bundesliga
85;1963;1964;11;Saturday;;;Werder Bremen;Eintracht Frankfurt;4:1;2:1;4;1;2;1;0;2;False;False;1. Bundesliga
86;1963;1964;11;Saturday;;;Borussia Dortmund;1. FC Kaiserslautern;9:3;5:1;9;3;5;1;0;2;False;False;1. Bundesliga
87;1963;1964;11;Saturday;;;FC Schalke 04;Hertha BSC;1:0;0:0;1;0;0;0;0;2;False;False;1. Bundesliga
88;1963;1964;12;Saturday;;;1. FC Kaiserslautern;Eintracht Braunschweig;2:1;1:0;2;1;1;0;0;2;False;False;1. Bundesliga
89;1963;1964;12;Saturday;;;Hamburger SV;VfB Stuttgart;1:1;0:1;1;1;0;1;1;1;False;False;1. Bundesliga
90;1963;1964;12;Saturday;;;Meidericher SV;Borussia Dortmund;3:3;1:3;3;3;1;3;1;1;False;False;1. Bundesliga
91;1963;1964;12;Saturday;;;1. FC Nürnberg;1. FC Köln;2:2;2:1;2;2;2;1;1;1;False;False;1. Bundesliga
92;1963;1964;12;Saturday;;;Karlsruher SC;Werder Bremen;1:1;1:0;1;1;1;0;1;1;False;False;1. Bundesliga
93;1963;1964;12;Saturday;;;Hertha BSC;1. FC Saarbrücken;3:2;1:2;3;2;1;2;0;2;False;False;1. Bundesliga
94;1963;1964;12;Saturday;;;Preußen Münster;FC Schalke 04;2:2;1:0;2;2;1;0;1;1;False;False;1. Bundesliga
95;1963;1964;12;Saturday;;;Eintracht Frankfurt;1860 München;5:2;2:1;5;2;2;1;0;2;False;False;1. Bundesliga
96;1963;1964;13;Saturday;;;1. FC Kaiserslautern;Hamburger SV;3:2;2:0;3;2;2;0;0;2;False;False;1. Bundesliga
97;1963;1964;13;Saturday;;;1. FC Nürnberg;Meidericher SV;2:0;1:0;2;0;1;0;0;2;False;False;1. Bundesliga
98;1963;1964;13;Saturday;;;Hertha BSC;Karlsruher SC;2:3;1:2;2;3;1;2;2;0;False;False;1. Bundesliga
99;1963;1964;13;Saturday;;;VfB Stuttgart;Eintracht Braunschweig;5:0;3:0;5;0;3;0;0;2;False;False;1. Bundesliga
100;1963;1964;13;Saturday;;;Eintracht Frankfurt;Preußen Münster;3:0;0:0;3;0;0;0;0;2;False;False;1. Bundesliga
101;1963;1964;13;Saturday;;;Werder Bremen;1. FC Saarbrücken;0:3;0:1;0;3;0;1;2;0;False;False;1. Bundesliga
102;1963;1964;13;Saturday;;;FC Schalke 04;1860 München;2:1;2:0;2;1;2;0;0;2;False;False;1. Bundesliga
103;1963;1964;13;Saturday;;;Borussia Dortmund;1. FC Köln;2:3;2:3;2;3;2;3;2;0;False;False;1. Bundesliga
104;1963;1964;14;Saturday;;;Meidericher SV;VfB Stuttgart;3:0;1:0;3;0;1;0;0;2;False;False;1. Bundesliga
105;1963;1964;14;Saturday;;;Preußen Münster;Werder Bremen;1:3;0:2;1;3;0;2;2;0;False;False;1. Bundesliga
